;Namn;Beskrivning;Min;Max;Enhet;Sökväg 800xA;Sökväg till Värde
;A001203QI263;SYM263  SYREMÄTARE 0.1_15 mg/l;0;10;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI263; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI263.In.Value
;A001207LI222;PNM222  NIVÅ I SLAMTORN;0;5;m; Applications.KF14_BioA_App.Programs.Allmänt.A001207LI222; Applications.KF14_BioA_App.Programs.Allmänt.A001207LI222.In.Value
x;A001205LI222;SNM222  SLAMNIVÅMÄTARE;0;3,400000095;m; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI222; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI222.In.Value
x;A001205LI231;SNM231  SLAMNIVÅMÄTARE;0;3,400000095;m; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI231; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI231.In.Value
x;A001205LI242;SNM242  SLAMNIVÅMÄTARE;0;3,400000095;m; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI242; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI242.In.Value
x;A001205LI262;SNM262  SLAMNIVÅMÄTARE;0;100;0; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI262; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI262.In.Value
x;A001205LI263;SNM263  SLAMNIVÅMÄTARE;0;3,400000095;m; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI263; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI263.In.Value
x;A001203QI240;NIM240  NITRATMÄTARE;0;50;mg/l; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI240; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI240.In.Value
;A001203QI247;REM240  REDOXMÄTARE 240, LINJE 204 ZON 4;0;100;0; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI247; Applications.KF14_BioA_App.Programs.Allmänt.A001203QI247.In.Value
;A001207HL207;RSL207 Returslamlucka läge;0;100;%; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL207; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL207.In.Value
;A001207HL208;RSL208 Returslamlucka läge;0;100;%; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL208; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL208.In.Value
;A001207HL209;RSL209 Returslamlucka läge;0;100;%; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL209; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL209.In.Value
;A001207HL210;RSL210 Returslamlucka läge;0;100;%; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL210; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL210.In.Value
;A001207HL211;RSL211 Returslamlucka läge;0;100;%; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL211; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL211.In.Value
;A001207HL212;RSL212 Returslamlucka läge;0;100;%; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL212; Applications.KF14_BioA_App.Programs.Allmänt.A001207HL212.In.Value
x;A001205LI251;SNM251 Slamnivåmätare;0;3,400000095;m; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI251; Applications.KF14_BioA_App.Programs.Allmänt.A001205LI251.In.Value
;A001201LI202;CNM202  KOLKÄLLENIVÅ;0;2;m; Applications.KF14_BioA_App.Programs.Allmänt.A001201LI202; Applications.KF14_BioA_App.Programs.Allmänt.A001201LI202.In.Value
;A001203LI211;KNM211  KANALNIVÅMÄTARE 0-1 mVP;0;1;m; Applications.KF15_BioB_App.Programs.Allmänt.A001203LI211; Applications.KF15_BioB_App.Programs.Allmänt.A001203LI211.In.Value
x;A001203FI211;KFM211  KANALFLÖDESMÄTARE 0-1000 m³/h;0;1000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001203FI211; Applications.KF15_BioB_App.Programs.Allmänt.A001203FI211.In.Value
x;A001208FI211;SFM211  SLAMFLÖDSESMÄTARE;0;60;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001208FI211; Applications.KF15_BioB_App.Programs.Allmänt.A001208FI211.In.Value
;A001203QI211;SYM211  SYREMÄTARE 0.1-15 mg/l;0;10;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI211; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI211.In.Value
;A001203QI212;SYM212  SYREMÄTARE 0.1-15 mg/l;0;10;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI212; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI212.In.Value
;A001203QI213;SYM213  SYREMÄTARE 0.1-15 mg/l;0;10;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI213; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI213.In.Value
x;A001205LI211;SNM211 SLAMNIVÅMÄTARE 0-3.4m;0;3,400000095;m; Applications.KF15_BioB_App.Programs.Allmänt.A001205LI211; Applications.KF15_BioB_App.Programs.Allmänt.A001205LI211.In.Value
;A001209FI201;LFM201  LUFTFLÖDESMÄTARE  0-6250 m3/h;0;6000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI201; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI201.In.Value
;A001209FI211;LFM211  LUFTFLÖDESMÄTARE  0-950 m3/h;0;1000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI211; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI211.In.Value
;A001209FI212;LFM212  LUFTFLÖDESMÄTARE  0-1850 m3/h;0;2000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI212; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI212.In.Value
;A001209FI213;LFM213  LUFTFLÖDESMÄTARE  0-1850 m3/h;0;2000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI213; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI213.In.Value
x;A001203QI215;SUM211  SUSP.MÄTARE 0-5 g/l;0;5;g/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI215; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI215.In.Value
;A001203LI231;KNM231  KANALNIVÅMÄTARE 0-1 mVP;0;1;m; Applications.KF15_BioB_App.Programs.Allmänt.A001203LI231; Applications.KF15_BioB_App.Programs.Allmänt.A001203LI231.In.Value
x;A001203FI231;KFM231  KANALFLÖDESMÄTARE 0-1000 m³/h;0;1000;m3/h; Applications.KF15_BioB_App.Programs.Allmänt.A001203FI231; Applications.KF15_BioB_App.Programs.Allmänt.A001203FI231.In.Value
;A001203HL211;ILL211 Inloppslucka läge;0;100;%; Applications.KF15_BioB_App.Programs.Allmänt.A001203HL211; Applications.KF15_BioB_App.Programs.Allmänt.A001203HL211.In.Value
;A001203HL231;ILL231 Inloppslucka läge;0;100;%; Applications.KF15_BioB_App.Programs.Allmänt.A001203HL231; Applications.KF15_BioB_App.Programs.Allmänt.A001203HL231.In.Value
;A001209FI203;LFM203  LUFTFLÖDESMÄTARE  0-6250 m3/h;0;6000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI203; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI203.In.Value
;A001209FI231;LFM231  LUFTFLÖDESMÄTARE  0-950 m3/h;0;1000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI231; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI231.In.Value
;A001209FI232;LFM232  LUFTFLÖDESMÄTARE  0-1850 m3/h;0;2000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI232; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI232.In.Value
;A001209FI233;LFM233  LUFTFLÖDESMÄTARE  0-1850 m3/h;0;2000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI233; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI233.In.Value
;A001203QI231;SYM231  SYREMÄTARE 0.1-15 mg/l;0;10;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI231; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI231.In.Value
;A001203QI232;SYM232  SYREMÄTARE 0.1-15 mg/l;0;10;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI232; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI232.In.Value
;A001203QI233;SYM233  SYREMÄTARE 0.1-15 mg/l;0;10;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI233; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI233.In.Value
x;A001207QI213;SUM213  SUSP.MÄTARE 0-5 g/l;0;10;g/l; Applications.KF15_BioB_App.Programs.Allmänt.A001207QI213; Applications.KF15_BioB_App.Programs.Allmänt.A001207QI213.In.Value
;A001203TI201;TEMPERATUR VATTEN LUFTN.;0;20;°C; Applications.KF15_BioB_App.Programs.Allmänt.A001203TI201; Applications.KF15_BioB_App.Programs.Allmänt.A001203TI201.In.Value
x;A001203QI230;NIM-230 Nitratmätare 230;0;20;mg/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI230; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI230.In.Value
x;A001203QI235;SUM231  SUSP.MÄTARE 0-5 g/l;0;5;g/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI235; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI235.In.Value
x;A001203QI255;SUM251  SUSP.MÄTARE 0-5 g/l;0;5;g/l; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI255; Applications.KF15_BioB_App.Programs.Allmänt.A001203QI255.In.Value
;A001201LI201;CNM201  KOLKÄLLENIVÅ 0-20 m3;0;2;m; Applications.KF15_BioB_App.Programs.Allmänt.A001201LI201; Applications.KF15_BioB_App.Programs.Allmänt.A001201LI201.In.Value
x;A001203FI251;KFM251  KANALFLÖDESMÄTARE 0-1000 m³/h;0;1000;m3/h; Applications.KF15_BioB_App.Programs.Allmänt.A001203FI251; Applications.KF15_BioB_App.Programs.Allmänt.A001203FI251.In.Value
;A001203LI251;KNM251  KANALNIVÅMÄTARE 0-1 mVP;0;1;m; Applications.KF15_BioB_App.Programs.Allmänt.A001203LI251; Applications.KF15_BioB_App.Programs.Allmänt.A001203LI251.In.Value
;A001203HL251;ILL251 Inloppslucka läge;0;100;%; Applications.KF15_BioB_App.Programs.Allmänt.A001203HL251; Applications.KF15_BioB_App.Programs.Allmänt.A001203HL251.In.Value
;A001209FI205;LFM205 LUFTFLÖDESMÄTARE  0-6250 m3/h;0;6000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI205; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI205.In.Value
;A001209FI251;LFM251  LUFTFLÖDESMÄTARE  0-950 m3/h;0;1000;m³/h; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI251; Applications.KF15_BioB_App.Programs.Allmänt.A001209FI251.In.Value
